phonemized_utterance	processed_gloss
w ɛ ɹ w iː ɡ ə n ə ɡ oʊ n aʊ	where we gonna go now ?
w ʌ t ɐ b aʊ t ɪ n h ɪ ɹ	what about in here ?
w ɛ l ð ɛ n d uː ɪ t	well then do it .
ð eɪ h æ v ð ɪ s æ t	they have this at .
l ɛ t s p l eɪ w ɪ ð ð ɪ s	let's play with this .
s iː ɪ f ð æ t	see if that .
oʊ h aʊ ɐ b aʊ t ð æ t	oh how about that ?
s oʊ iː t	so eat .
p ʊ t ð ə	put the !
d uː j uː n oʊ w ʌ t	do you know what ?
w ɛ l ɡ ʊ d f ɔː ɹ j uː	well good for you .
n oʊ oʊ oʊ k eɪ	no oh okay !
aɪ ɡ oʊ w ɪ ð j uː	i go with you .
w ɛ n w ʌ t	when what ?
oʊ k eɪ s eɪ	okay say .
s oʊ iː t ɪ t	so eat it ?
w ʌ t w ʌ t d uː j uː s iː	what what do you see ?
ʌ m p l eɪ w ɪ ð h ɪ m	um play with him .
s iː j uː	see you !
n aʊ j uː d ɪ d ɪ t	now you did it .
ð ɛ ɹ ɪ z w ʌ n ɪ n ð ɛ ɹ	there is one in there .
s oʊ j uː w ɔ n ə b iː	so you wanna be .
aɪ θ ɪ ŋ k ð ɛ ɹ z s ʌ m ð ɛ ɹ	i think there's some there .
ɪ t s m aɪ	it's my .
oʊ ɪ t	oh it .
oʊ k eɪ j ɛ h	okay yeah .
l ɛ t s s iː w ʌ t	let's see what ?
oʊ oʊ k eɪ l aɪ k ð ɪ s	oh okay like this .
ɹ aɪ t ɡ oʊ	right go .
l ʊ k d ʌ z ɪ t ɡ oʊ h ɪ ɹ	look does it go here ?
d ɪ d j uː n aʊ	did you now ?
w ʌ t d uː aɪ h æ v ɔ n	what do i have on ?
d oʊ n t s eɪ	don't say .
j uː ɹ aɪ t j ɛ h	you right yeah .
oʊ w ʌ t ɐ b aʊ t ð ɪ s	oh what about this ?
n oʊ b ʌ t j uː d uː ɪ t	no but you do it .
ɹ aɪ t h ɪ ɹ ɹ aɪ t ð ɛ ɹ	right here right there .
j ɛ h oʊ j ɛ h	yeah oh yeah .
w ʌ t ɪ z ð æ t ɡ ə n ə d uː	what is that gonna do ?
s oʊ j uː d oʊ n t	so you don't .
ð æ t s oʊ k eɪ oʊ k eɪ oʊ k eɪ	that's okay okay okay .
l ʊ k j uː s iː	look you see .
p l eɪ w ɪ ð ð ɛ m n aʊ	play with them now .
oʊ ʃ iː ɪ z	oh she is ?
w ɛ n d ɪ d j uː m eɪ k ɪ t	when did you make it ?
ɪ t s ɔ n	it's on !
d ɪ d w iː ɡ oʊ ð ɛ ɹ	did we go there ?
ɪ z ð æ t l aɪ k j ʊ ɹ b eɪ b i	is that like your baby ?
ð æ t s ɹ aɪ t ð ɛ ɹ j uː ɡ oʊ	that's right there you go .
s oʊ w ʌ t s	so what's .
b ʌ t ð æ t	but that .
oʊ s eɪ	oh say .
t uː t uː b ɪ ɡ	too too big ?
j uː l aɪ k ɪ t h ɪ ɹ	you like it here ?
j ɛ h d uː ð æ t	yeah do that ?
ð æ t s w ɛ ɹ j uː iː t	that's where you eat ?
w ʌ n w ʌ n w ʌ n	one one one .
w ɔ n ə iː t	wanna eat .
l aɪ k ð æ t b ɪ ɡ w ʌ t	like that big what ?
d ɪ d j uː ɡ ɛ t	did you get .
oʊ j uː d ɪ d	oh you did .
w ʌ t ɑː ɹ j uː ɡ ə n ə iː t	what are you gonna eat ?
æ n d w iː k æ n iː t ɪ t	and we can eat it ?
aɪ aɪ ɡ ɑː t s ʌ m	i i got some .
ʌ m l ɛ t s s iː	um let's see .
h aʊ ɐ b aʊ t ð æ t	how about that ?
j uː w ɔ n t	you want ?
ɹ aɪ t ð ɛ ɹ ð ɛ ɹ ɪ ɾ ɪ z	right there there it is .
ð eɪ d̠ʒ ʌ s t d uː ð ɛ m	they just do them .
w ɛ l d uː ð ɛ m	well do them .
b ʌ t aɪ w ɔ n ə ɡ ɛ t	but i wanna get .
s oʊ w ʌ t h æ v aɪ ɡ ɑː t	so what have i got .
w ɛ l j uː ɑː ɹ ʌ p	well you are up .
æ n d æ n d ʌ m	and and um .
ð æ t s w ʌ t ð eɪ	that's what they .
æ n d ð ɛ n j uː ɡ ɛ t ɔ n	and then you get on .
n oʊ n ɑː t f ɔː ɹ n aʊ	no not for now .
aɪ h æ v ɪ t	i have it !
oʊ ð eɪ d uː oʊ k eɪ	oh they do okay .
w ʌ t d ʌ z l ʊ k l aɪ k	what does look like ?
oʊ k eɪ w iː k æ n ɡ oʊ	okay we can go .
h iː d̠ʒ ʌ s t ɡ ɑː t h ɪ ɹ	he just got here .
w ɛ l ɪ ɾ ɪ z ɐ b eɪ b i	well it is a baby .
ʌ p æ n d d aʊ n	up and down .
w ʌ t d ɪ d ʃ iː d uː h ɪ ɹ	what did she do here ?
ð æ t w ʌ z ɔː l oʊ k eɪ	that was all okay .
d ʌ z ʃ iː d uː ð æ t	does she do that ?
aɪ n oʊ b ɪ k ʌ z j uː	i know because you .
n aʊ w ʌ t s ð ɪ s ʌ p h ɪ ɹ	now what's this up here ?
w iː h æ v ɐ w ʌ t h ɪ ɹ	we have a what here ?
j uː w ɔ n t m iː h æ v w ʌ n	you want me have one ?
k ʌ m ɔ n j uː w ɔ n ə	come on you wanna ?
oʊ k eɪ ɪ z ð æ t ɔː l	okay is that all ?
n aʊ m eɪ k s ʌ m	now make some .
ð æ t s l ɪ ɾ ə l j uː ɪ n ð ɛ ɹ	that's little you in there .
w ɛ l ɡ ʊ d	well good !
j uː ɑː ɹ j uː ɑː ɹ	you are you are !
n oʊ ð ə w ʌ n oʊ v ɚ ð ɛ ɹ	no the one over there .
w ɔ n t s ʌ m ʌ v ð ɛ m	want some of them ?
w ɛ n j uː d ɪ d ð æ t	when you did that ?
w ɛ l h iː z ɹ aɪ t ð ɛ ɹ	well he's right there .
ð æ t j uː	that you ?
ð ə b eɪ b i oʊ v ɚ	the baby over .
j uː n oʊ w ʌ t ɪ t	you know what it .
k ʌ m ɔ n n aʊ	come on now !
oʊ k eɪ p ʊ t ɪ ɾ ɪ n h ɪ ɹ	okay put it in here .
d ɪ d j uː d uː ð ɛ m ɔː l	did you do them all ?
oʊ k eɪ m aɪ	okay my .
w ɛ l j uː ɡ ɑː t t ə ð ɛ ɹ	well you got to there .
k æ n aɪ l ʊ k	can i look ?
j uː d oʊ n t w ɔ n t h ɪ m t uː	you don't want him to ?
w ʌ t s ɪ t	what's it .
j uː p ʊ t ɪ ɾ ɔ n ð ɛ ɹ	you put it on there !
oʊ aɪ ɡ ɑː t j uː	oh i got you !
oʊ k eɪ w ɛ ɹ w ʌ z w iː æ t	okay where was we at ?
n oʊ b ɪ k ʌ z j ʊ ɹ	no because you're .
æ n d ð ɪ s ɪ z oʊ	and this is oh .
j uː s eɪ j uː	you say you ?
aʊ t aʊ t w ɪ ð j uː	out out with you !
oʊ w ʌ t eɪ	oh what a .
h ɪ ɹ l ʊ k ɪ t	here look it !
æ n d l ʊ k f ɔː ɹ	and look for .
b ʌ t aɪ d uː	but i do .
p ʊ t ɪ t ɹ aɪ t ɪ n ð ɛ ɹ	put it right in there .
ɹ aɪ t ð ɛ ɹ æ n d w ʌ t s ð ɪ s	right there and what's this ?
j ɛ h ð eɪ d uː	yeah they do .
h iː d ɪ d ɪ t l aɪ k ð æ t	he did it like that ?
ɐ æ n d ð ɛ n	a and then .
d ɪ d j uː ɡ ɛ t w ʌ n	did you get one ?
h ɪ ɹ ɡ oʊ j ʊ ɹ l ɪ ɾ ə l	here go your little .
w ʌ t s ɪ n ð ɛ ɹ ʌ m	what's in there um ?
l ʊ k l ʊ k æ t ð ɪ s	look look at this .
w ɔ n ə k ʌ m ʌ p æ n d s iː	wanna come up and see ?
l aɪ k ð ə w ʌ n ʌ p ð ɛ ɹ	like the one up there .
w ʌ t s ð ə w ʌ n j uː h æ v	what's the one you have ?
w ɔ n ə m eɪ k ð æ t	wanna make that ?
ɔː ɹ j ɛ h m iː	or yeah me ?
oʊ k eɪ j uː n oʊ w ʌ t	okay you know what ?
ɪ ɾ ɪ z eɪ	it is a .
ð ɪ s b ɪ ɡ w ʌ n	this big one .
h aʊ ɪ z ɪ t	how is it .
j uː n oʊ aɪ d oʊ n t	you know i don't .
j uː d oʊ n t s iː h ɪ m	you don't see him .
j uː p l eɪ oʊ v ɚ h ɪ ɹ	you play over here .
w ʌ t s ɡ oʊ ɪ ŋ ɔ n	what's going on .
n aʊ w ʌ t ɐ b aʊ t oʊ v ɚ h ɪ ɹ	now what about over here ?
ɪ t s d̠ʒ ʌ s t n ɑː t ɪ n h ɪ ɹ	it's just not in here .
æ n d ð æ t ɪ z	and that is ?
j ʊ ɹ n ɑː t ɡ oʊ ɪ ŋ aʊ t	you're not going out ?
l ʊ k æ t w ʌ t j uː d ɪ d	look at what you did .
l ʊ k l ɪ ɾ ə l w ʌ n	look little one !
j uː w ɔ n t t ə ɡ ɛ t aʊ t	you want to get out ?
w ʌ t d uː j uː h æ v n aʊ	what do you have now ?
ɔː ɹ ɪ z ɪ t d̠ʒ ʌ s t w ʌ n	or is it just one ?
j ʊ ɹ ɡ oʊ ɪ ŋ t ʊ iː t n aʊ	you're going to eat now .
w ɔ n ə s iː w ʌ t s oʊ v ɚ h ɪ ɹ	wanna see what's over here ?
d ɪ d j uː d ɪ d j uː l ʊ k	did you did you look ?
w ʌ t s ɹ aɪ t	what's right ?
b ʌ t h iː z ð ɛ ɹ n aʊ	but he's there now .
j ɛ h j ɛ h ð æ t s ɹ aɪ t h iː	yeah yeah that's right he .
k ʌ m ɔ n n oʊ	come on no .
oʊ k eɪ ð ɛ ɹ n aʊ	okay there now .
l ɛ t s s iː l ʊ k æ t ð ɪ s	let's see look at this !
l ɛ t s l ɛ t s d̠ʒ ʌ s t d uː ð ɪ s	let's let's just do this .
k ʌ m s iː m iː	come see me !
w ɛ l h ɪ ɹ w ʌ t ɪ z h iː	well here what is he ?
oʊ k eɪ ʌ p	okay up .
oʊ ɐ b eɪ b i	oh a baby .
d̠ʒ ʌ s t w ʌ n	just one ?
ɔː ɹ p l eɪ	or play .
aɪ d oʊ n t n oʊ d ʌ z ɪ t	i don't know does it ?
oʊ aɪ n oʊ w ʌ t ɪ t	oh i know what it .
l ɛ t s l ɛ t s s iː	let's let's see .
w iː d oʊ n t	we don't ?
w iː iː t ð æ t	we eat that .
ɔː ɹ w ʌ t ɐ b aʊ t ð ɪ s ʌ m	or what about this um ?
j ɛ h b ʌ t	yeah but ?
d ɪ d j uː iː t ɪ t	did you eat it ?
l ɛ t s ɡ ɛ t ʌ p	let's get up !
w ɔ n t ɪ ɾ ɪ n ɪ t	want it in it ?
w ʌ t d uː w iː s iː	what do we see ?
l ʊ k k ʌ m h ɪ ɹ	look come here .
n oʊ ð ə k æ n	no the can .
l ʊ k w ʌ t s ð ɪ s	look what's this ?
æ n d w ɛ ɹ ɑː ɹ ð eɪ	and where are they ?
n oʊ w ʌ t j uː d uː	know what you do ?
d̠ʒ ʌ s t s eɪ n oʊ	just say no .
w iː l aɪ k h ɪ m	we like him .
ɪ z ð æ t ɔː l ɹ aɪ t	is that all right ?
aɪ n oʊ ɹ aɪ t	i know right .
oʊ oʊ ð æ t s	oh oh that's .
p ʊ t ð ɛ m ɔː l ɪ n	put them all in .
d uː aɪ h æ v ɐ b eɪ b i	do i have a baby ?
j ʊ ɹ ɡ oʊ ɪ ŋ t ə ɡ ɛ t ð æ t	you're going to get that ?
j ɛ h aɪ w ɔ n t s ʌ m t uː	yeah i want some too .
aʊ t w ʌ t	out what ?
j uː ɡ ɑː t w ʌ t j uː w ɔ n t	you got what you want ?
d uː ð eɪ h æ v w ʌ n ð ɛ ɹ	do they have one there ?
ɑː ɹ ð eɪ oʊ v ɚ h ɪ ɹ	are they over here ?
w ɛ l j uː d uː w ɔ n t s ʌ m	well you do want some .
t ə p ʊ t ð ɪ s d aʊ n	to put this down .
j ɛ h p ʊ t ɪ ɾ ɔ n ð ɛ ɹ	yeah put it on there .
l aɪ k ð æ t ð ɛ ɹ	like that there .
d ʌ z h iː s eɪ	does he say .
j uː ɡ ə n ə p ʊ t ð ɛ m ʌ p	you gonna put them up ?
æ n d w ʌ t ɐ b aʊ t ð ɪ s	and what about this ?
j uː k æ n ɡ ɛ t aʊ t	you can get out .
oʊ w ʌ t s	oh what's ?
ɪ t s ɔː l	it's all .
w ʌ t ɐ j uː ɡ ɑː t	what a you got ?
k æ n ð æ t ɡ oʊ ɪ n ð ɛ ɹ	can that go in there ?
oʊ d ɪ d j uː s iː ð ɪ s	oh did you see this ?
k æ n j uː k ʌ m	can you come ?
oʊ m iː	oh me ?
ð ɛ n ɪ t s ɡ oʊ ɪ ŋ	then it's going ?
d ʌ z ɪ t j ɛ h	does it yeah ?
d oʊ n t n aʊ	don't now .
n oʊ n oʊ n ɑː t ɡ ʊ d	no no not good .
ð æ t s w ʌ t ð eɪ iː t	that's what they eat .
p ʊ t h ɪ m ʌ p ð ɛ ɹ	put him up there .
w ʌ t ɑː ɹ j uː oʊ k eɪ	what are you okay ?
j ɛ h aɪ n oʊ w ʌ t	yeah i know what .
j ʊ ɹ ɡ ə n ə l aɪ k ɪ t	you're gonna like it .
aɪ s eɪ m eɪ k ɪ t	i say make it .
æ n d w ʌ n w ʌ t s ð æ t	and one what's that ?
k æ n j uː m eɪ k m iː s ʌ m	can you make me some ?
l ʊ k æ ɾ ɔː l ʌ v ð ɛ m	look at all of them .
k ʌ m oʊ v ɚ h ɪ ɹ oʊ k eɪ	come over here okay ?
oʊ ɐ b eɪ b i w ʌ n	oh a baby one .
w ʌ t ɪ z ð æ t ð æ t ð æ t	what is that that that ?
l ɛ t s s iː w ʌ t ð eɪ d uː	let's see what they do .
l ɛ t s ɡ oʊ ð ɛ n	let's go then .
ɪ f j uː d oʊ n t l aɪ k ɪ t	if you don't like it .
j uː n oʊ ð ɛ ɹ z ð ə	you know there's the .
oʊ v ɚ ð ɛ ɹ oʊ v ɚ ð ɛ ɹ	over there over there .
t uː t uː b ɪ ɡ	too too big .
j uː s iː j uː	you see you .
ð æ t f ɔː ɹ j uː	that for you .
ɹ aɪ t w ɛ ɹ ɪ ɾ ɪ z	right where it is .
ɡ oʊ ɔ n ɡ ɛ t ɪ n	go on get in .
oʊ ɡ oʊ ɪ ŋ ɪ n ð ɛ ɹ oʊ	oh going in there oh .
w ʌ t s ʌ p ð ɛ ɹ	what's up there ?
ɪ z h iː l ɪ ɾ ə l ɔː ɹ b ɪ ɡ	is he little or big ?
ɪ t s ɹ aɪ t d aʊ n h ɪ ɹ	it's right down here .
w ʌ n ɪ z	one is .
ð ɪ s ð ɪ s ɪ z f ɔː ɹ m iː	this this is for me ?
n aʊ aɪ m ɡ ə n ə ɡ ɛ t j uː	now i'm gonna get you .
ɪ t w ʌ z ð ɪ s b ɪ ɡ	it was this big .
ɪ z ð æ t w ʌ t	is that what .
j ɛ h aɪ θ ɪ ŋ k ʃ iː ɪ z	yeah i think she is .
k ʌ m oʊ v ɚ h ɪ ɹ b eɪ b i	come over here baby .
b ʌ t aɪ n oʊ ð æ t	but i know that .
ɪ t s oʊ k eɪ	it's okay ?
aɪ d uː oʊ k eɪ	i do okay .
ʌ m oʊ k eɪ ɡ ɛ t ð ə	um okay get the .
w ɔ n ə ɡ ɛ t m iː d aʊ n h ɪ ɹ	wanna get me down here ?
ð æ t s ɔː l aɪ w ɔ n t	that's all i want .
s iː n aʊ	see now .
d ʌ z h iː h æ v h ɪ z	does he have his .
w ɛ ɹ aɪ d oʊ n t n oʊ	where i don't know .
ɑː ɹ ʌ m	are um .
p ʊ t ð ɛ m ʌ m	put them um .
oʊ w ɛ ɹ d ɪ d j uː ɡ oʊ	oh where did you go ?
oʊ w ɛ l ð ɛ n j ɛ h oʊ k eɪ	oh well then yeah okay .
d ɪ d aɪ s iː ɪ t	did i see it ?
w ʌ t d ʌ z ɪ t s eɪ h ɪ ɹ	what does it say here ?
æ n d ɡ ɛ t eɪ	and get a .
ð æ t s w ɛ ɹ	that's where ?
ɹ aɪ t ʌ p h ɪ ɹ s iː	right up here see ?
aɪ w ɔ n ə b iː ð ɪ s	i wanna be this .
h ɪ ɹ ɪ z j ʊ ɹ	here is your .
j uː k ʌ m w ɪ ð m iː	you come with me .
ð ɛ n w ʌ t w iː d uː	then what we do ?
oʊ aɪ m ɡ ə n ə ɡ ɛ t	oh i'm gonna get .
ʌ m aɪ d oʊ n t n oʊ	um i don't know .
aɪ n oʊ	i know !
j uː w ɔ n t ð ɪ s b eɪ b i	you want this baby .
n aʊ w ʌ t w ʌ z ð æ t f ɔː ɹ	now what was that for ?
oʊ j uː p ʊ t ɪ ɾ ɪ n	oh you put it in .
oʊ ʃ iː d ɪ d	oh she did .
w ʌ t d uː θ ɪ ŋ k h iː d ɪ d	what do think he did ?
ɡ oʊ d aʊ n æ n d aʊ t	go down and out .
d ʌ z h iː n oʊ j uː ɑː ɹ	does he know you are ?
oʊ k eɪ ð ɛ ɹ ð eɪ ɑː ɹ	okay there they are .
w ʌ t s ɡ oʊ ɪ ŋ ɔ n oʊ v ɚ h ɪ ɹ	what's going on over here ?
d oʊ n t d uː ɪ ɾ oʊ v ɚ ð ɛ ɹ	don't do it over there .
n aʊ j uː w ɔ n ə d uː ɪ t	now you wanna do it .
j uː l aɪ k t ə p ʊ t ɪ t	you like to put it .
w ɛ l h ɪ ɹ j uː ɡ oʊ	well here you go .
j uː k æ n h æ v eɪ	you can have a .
oʊ k eɪ æ n d p ʊ t ð æ t h ɪ ɹ	okay and put that here ?
oʊ k eɪ ɪ z ð æ t ɡ ʊ d	okay is that good ?
n ɑː t ɪ n ɹ aɪ t	not in right ?
j uː d uː l aɪ k ð ə	you do like the .
j ʊ ɹ ɡ ə n ə w ʌ t m iː ʌ p	you're gonna what me up ?
n oʊ aɪ θ ɪ ŋ k j ʊ ɹ ɹ aɪ t	no i think you're right .
ɪ t s ɐ b ɪ ɡ w ʌ n t uː	it's a big one too .
ɪ z ð æ t ɔː l ʌ v ð ɛ m	is that all of them ?
t ə b ɪ ɡ	to big ?
ð æ t b ɪ ɡ w ʌ n	that big one .
w ɛ l w ʌ t s ð ɪ s	well what's this .
j uː d oʊ n t n oʊ ð ɛ m	you don't know them ?
d uː j uː θ ɪ ŋ k ð æ t ʌ m	do you think that um .
ð eɪ ɔː l l aɪ k ð æ t	they all like that .
d uː j uː n oʊ w ʌ t ð ɪ s	do you know what this ?
w ʌ t s ʃ iː ɡ ɑː t w ɪ ð h ɜː	what's she got with her ?
ɑː ɹ j uː	are you ?
s oʊ d uː aɪ	so do i ?
ɡ oʊ t ə ð ə ɹ aɪ t	go to the right ?
ð eɪ t uː b ɪ ɡ	they too big .
h ɪ ɹ k ʌ m s iː m iː	here come see me .
aɪ w ʌ z l aɪ k	i was like .
æ n d l ʊ k ɪ t h ɪ ɹ	and look it here .
oʊ ð æ t s w ʌ t j uː d uː	oh that's what you do .
æ n d aɪ n oʊ	and i know .
p ʊ t ð ɛ m h ɪ ɹ	put them here .
w ɛ ɹ d uː aɪ p ʊ t ɪ t	where do i put it ?
ð ɛ ɹ z ð ə l ɪ ɾ ə l b eɪ b i	there's the little baby .
h ɪ ɹ ɪ z ð ə	here is the .
oʊ k eɪ ɡ ɛ t aʊ t	okay get out !
w ʌ t b eɪ b i	what baby ?
d̠ʒ ʌ s t j uː	just you ?
ʌ v m iː	of me !
ɡ ɑː t w ʌ n ɪ n	got one in .
s eɪ ʌ p	say up !
oʊ n oʊ j uː ɡ ɑː t m iː	oh no you got me .
d ʌ z ʃ iː n oʊ ð æ t	does she know that ?
oʊ j ɛ h ʌ m	oh yeah um .
d oʊ n t j uː w ɔ n ə ɡ oʊ	don't you wanna go ?
b ɪ k ʌ z aɪ w ɔ n t	because i want .
ʌ m j ɛ h	um yeah .
n aʊ aɪ w ʌ t	now i what ?
w ʌ n ɐ w ʌ t	one a what ?
oʊ ð æ t s m aɪ	oh that's my .
w ʌ t h æ v w iː h ɪ ɹ	what have we here ?
w ɛ ɹ ɑː ɹ ð ə	where are the .
ð eɪ ɡ oʊ ɹ aɪ t h ɪ ɹ	they go right here .
s eɪ ð ɛ ɹ h iː ɪ z	say there he is .
w ʌ t w ʌ t w ʌ t	what what what ?
p ʊ t ð æ t ɪ n	put that in .
aɪ m l aɪ k aɪ d oʊ n t n oʊ	i'm like i don't know .
aɪ θ ɪ ŋ k j uː d ɪ d ɪ t	i think you did it .
ð eɪ d̠ʒ ʌ s t d oʊ n t	they just don't .
j uː w ɔ n ə ɡ oʊ ɡ ɛ t ð ɛ m	you wanna go get them ?
s iː h aʊ w iː d uː	see how we do .
ɪ t s ɡ ə n ə b iː ɡ ʊ d	it's gonna be good .
oʊ n ɑː t n aʊ	oh not now .
oʊ ð ə b ɪ ɡ w ʌ n j ɛ h	oh the big one yeah !
n ɑː t t ə ɡ ʊ d	not to good .
w iː k æ n ɔː l p l eɪ	we can all play !
s ʌ m ɑː ɹ n ɑː t	some are not .
k æ n j uː d uː ð ɪ s	can you do this ?
oʊ k eɪ æ n d ð æ t ɪ z ɪ t	okay and that is it .
p ʊ t ɪ ɾ ʌ p ð ɛ ɹ	put it up there !
l ɛ t s s iː j ɛ h	let's see yeah ?
w ɛ l ð æ t s oʊ k eɪ ð æ t s oʊ k eɪ	well that's okay that's okay .
w ɔ n ə ɡ oʊ ɪ n	wanna go in ?
s oʊ ɪ t b iː ɐ w ʌ t	so it be a what ?
d uː j uː w ɔ n ə p ʊ t w ʌ t	do you wanna put what ?
d ɪ d j uː m eɪ k ɪ t	did you make it ?
oʊ w ʌ t s ɡ oʊ ɪ ŋ ɔ n h ɪ ɹ	oh what's going on here .
ð æ t s ɹ aɪ t ʃ iː d ʌ z	that's right she does .
h aʊ d ʌ z ð æ t d uː ð æ t	how does that do that ?
j uː d̠ʒ ʌ s t w ɔ n ə iː t ɪ t	you just wanna eat it ?
d uː j uː w ɔ n ə ɡ ɛ t aʊ t	do you wanna get out ?
oʊ k eɪ s iː j uː ð ɛ n	okay see you then .
ɡ ə n ə m eɪ k ɐ w ʌ t	gonna make a what ?
j uː n oʊ w ʌ t j uː	you know what you .
ɪ t d ʌ z	it does !
w ʌ t s ð ɪ s ʌ p h ɪ ɹ	what's this up here ?
n oʊ ð æ t s ɐ ʌ m	no that's a um .
æ n d ɪ t s ɡ oʊ ɪ ŋ ʌ p	and it's going up .
h aʊ d ɪ d ð æ t ɡ oʊ	how did that go ?
w ʌ t d ʌ z ʃ iː h æ v ɔ n	what does she have on ?
h iː z ɡ oʊ ɪ ŋ t ʊ iː t	he's going to eat .
oʊ h ɪ ɹ h ɪ ɹ	oh here here .
oʊ k eɪ j uː w ɔ n ə ɡ ɛ t aʊ t	okay you wanna get out ?
j uː k æ n oʊ	you can oh .
oʊ l ʊ k æ ɾ ɔː l ð ɪ s	oh look at all this !
l ɛ t s ɡ ɛ t d aʊ n	let's get down .
oʊ aɪ θ ɪ ŋ k ð æ t s ɹ aɪ t	oh i think that's right !
b ɪ k ʌ z ɪ f j ʊ ɹ n ɑː t	because if you're not .
s oʊ ð æ t s	so that's .
ɡ oʊ ɪ n ɹ aɪ t h ɪ ɹ	go in right here !
iː t iː t iː t iː t	eat eat eat eat .
oʊ ɪ t s ɐ ɡ ʊ d w ʌ n	oh it's a good one ?
l aɪ k s oʊ	like so .
w ɪ ð h ɪ m	with him .
oʊ k eɪ l ʊ k æ t ð ɪ s	okay look at this .
h aʊ d uː w iː ɡ ɛ t ɪ t	how do we get it ?
n oʊ p ʊ t ɪ t ɹ aɪ t h ɪ ɹ	no put it right here .
ɪ z ð æ t w ʌ t j uː h æ v	is that what you have ?
n aʊ j uː ɡ ɑː t	now you got .
d̠ʒ ʌ s t j uː	just you .
aɪ d ɪ d l ʊ k ð ɛ ɹ	i did look there .
n aʊ w ʌ t d uː j uː θ ɪ ŋ k	now what do you think ?
n oʊ n ɑː t h ɜː	no not her .
æ n d w ʌ t ɐ b aʊ t h ɪ m	and what about him ?
j ʊ ɹ j ʊ ɹ	your your .
k æ n j uː l ʊ k ɪ n ɪ t	can you look in it ?
j uː w ɔ n ə ɡ ɛ t ɪ t	you wanna get it ?
ʃ iː d oʊ n t w ɔ n ə ɡ oʊ	she don't wanna go !
ɹ aɪ t æ n d w ʌ t s ð ɪ s	right and what's this ?
ð æ t s w ʌ n ʌ v ð ɛ m	that's one of them .
j uː d uː	you do .
s oʊ w ʌ t h æ v j uː	so what have you ?
n aʊ ʌ m d aʊ n h ɪ ɹ	now um down here ?
j uː d ɪ d	you did !
n ɑː t m iː n ɑː t j uː	not me not you .
h aʊ ɐ b aʊ t l ɪ ɾ ə l w ʌ n	how about little one ?
s oʊ ð ɛ ɹ	so there .
ɔː ɹ w iː h æ v eɪ	or we have a .
æ n d w ʌ t ɪ z æ t	and what is at ?
w ɛ l p ʊ t ð ɛ m ɪ n	well put them in .
oʊ w ʌ t w ʌ z ð æ t	oh what was that .
w ʌ t d ʌ z ʃ iː w ɔ n ə d uː	what does she wanna do ?
b ɪ k ʌ z w iː l aɪ k ɪ t t uː	because we like it too .
æ n d æ n d j uː s iː ʃ iː	and and you see she .
j uː ɡ ə n ə ɡ oʊ	you gonna go ?
w ɛ l oʊ k eɪ l ɛ t s s iː j uː	well okay let's see you .
h ɪ ɹ aɪ θ ɪ ŋ k	here i think .
j ɛ h æ n d j uː l aɪ k ɪ t	yeah and you like it ?
oʊ k eɪ k ʌ m ɔ n	okay come on .
l ʊ k w ʌ t s ɪ n h ɪ ɹ	look what's in here !
s iː s iː ð æ t	see see that ?
ʌ m j ɛ h aɪ d oʊ n t n oʊ	um yeah i don't know .
ɹ aɪ t oʊ v ɚ h ɪ ɹ ɑː ɹ s ʌ m	right over here are some .
k æ n j uː s eɪ b eɪ b i	can you say baby ?
oʊ h aʊ ɐ b aʊ t h ɪ ɹ	oh how about here ?
ɔː l ð ɪ s w ʌ z ɐ b aʊ t	all this was about .
ɡ oʊ ɔ n iː t	go on eat .
p ʊ t ð ə b eɪ b i d aʊ n	put the baby down .
aɪ m ɡ ə n ə b iː	i'm gonna be .
w ʌ t s ð ɪ s	what's this .
s oʊ k æ n aɪ k ʌ m	so can i come ?
n aʊ d uː ɪ t ɹ aɪ t	now do it right .
j uː ɡ oʊ ɪ ŋ t ʊ iː t ð ɪ s	you going to eat this ?
oʊ l ʊ k h ɪ ɹ	oh look here !
j ɛ h n ɑː t w ʌ n	yeah not one .
ɪ t s n oʊ	it's no .
oʊ k eɪ w ʌ t s ɪ n h ɪ ɹ	okay what's in here ?
w ʌ t ɐ b aʊ t h ɜː	what about her ?
w ɔ n ə ɡ oʊ oʊ v ɚ ð ɛ ɹ	wanna go over there ?
ɪ t s ɪ n m aɪ h ɪ ɹ	it's in my here .
aʊ t h ɪ ɹ h ɪ ɹ	out here here .
oʊ k eɪ ð æ t s ɡ ʊ d	okay that's good !
w ʌ t k æ n w iː d uː ð ɛ n	what can we do then ?
w iː d oʊ n t p l eɪ w ɪ ð ð æ t	we don't play with that .
h aʊ ɐ b aʊ t j uː k æ n j uː	how about you can you .
d oʊ n t w iː n oʊ	don't we know ?
oʊ j uː l aɪ k ð æ t	oh you like that ?
j ɛ h w ɛ l aɪ	yeah well i .
w ʌ t ɑː ɹ h ɪ ɹ	what are here ?
ð ɛ ɹ z eɪ	there's a .
w ɔ n ə p ʊ t ð æ t ɔ n m iː	wanna put that on me ?
d oʊ n t ɡ oʊ d aʊ n	don't go down ?
j ɛ h j ʊ ɹ oʊ k eɪ	yeah you're okay .
w iː d̠ʒ ʌ s t h æ v w ɛ l	we just have well .
l ɛ t s s iː j uː	let's see you .
